Protocol,seeds,commit_rate_pct,abort_rate_pct,throughput,latency_slots,energy_per_dec,efficiency,end_slot,listen,flood,sleep
TOM (CI),15,100.0,0.0,0.2132,4.7,88.0,2.43,470.0,6098.0,2701.0,3900.0
Paxos (CI),15,100.0,0.0,0.1903,61.4,100.2,1.91,526.0,6946.0,3075.0,4434.0
2PC (CI),15,98.9,1.1,0.1681,357.7,115.8,1.46,590.0,7935.0,3514.0,5034.0
TOM (CE),15,100.0,0.0,0.2143,4.7,126.3,1.7,468.0,8780.0,3846.0,0.0
Paxos (CE),15,100.0,0.0,0.0704,14.2,383.6,0.18,1421.0,22997.0,15362.0,0.0
2PC (CE),15,100.0,0.0,0.0412,24.3,657.1,0.06,2434.0,39617.0,26088.0,0.0
