seed,nodes,topology,loss_rate,flood_repeats,protocol,phy,diameter,edges,proposals,committed,aborted,timed_out,avg_latency,listen,flood,sleep,nacks,piggybacks,ce_timeouts,end_slot
2,27,random,0,1,tom_pipeline,ci,4,62,100,100,0,0,4.30,5588,2700,3322,0,0,0,430
2,27,random,0,0,paxos_ce,ce,4,62,100,100,0,0,13.61,21627,15120,0,0,0,0,1361
2,27,random,0,0,2pc_ce,ce,4,62,100,100,0,0,23.14,36806,25672,0,0,0,191,2314
2,27,random,0,0,tom_ce,ce,4,62,100,100,0,0,4.30,8040,3570,0,0,0,0,430
2,27,random,0.05,1,paxos_pipeline,ci,4,62,100,100,0,0,59.26,6559,3051,4187,0,0,0,507
2,27,random,0.05,1,2pc_pipeline,ci,4,62,100,100,0,0,120.35,7325,3429,4393,0,0,0,557
2,27,random,0.05,1,tom_pipeline,ci,4,62,100,100,0,0,4.52,5796,2700,3708,0,0,0,452
2,27,random,0.05,0,paxos_ce,ce,4,62,100,100,0,0,13.74,21907,15191,0,0,0,0,1374
2,27,random,0.05,0,2pc_ce,ce,4,62,100,100,0,0,22.86,36546,25176,0,0,0,198,2286
2,27,random,0.05,0,tom_ce,ce,4,62,100,100,0,0,4.43,8312,3649,0,0,0,0,443
2,27,random,0.1,1,paxos_pipeline,ci,4,62,100,100,0,0,60.61,7312,3291,4760,0,0,0,520
2,27,random,0.1,1,2pc_pipeline,ci,4,62,100,84,16,0,124.99,7561,3402,4805,30,54,0,580
2,27,random,0.1,1,tom_pipeline,ci,4,62,100,100,0,0,4.63,6004,2725,3907,1,1,0,463
2,27,random,0.1,0,paxos_ce,ce,4,62,100,100,0,0,13.61,21922,14825,0,0,0,5,1361
2,27,random,0.1,0,2pc_ce,ce,4,62,100,100,0,0,23.45,37869,25446,0,0,0,262,2345
2,27,random,0.1,0,tom_ce,ce,4,62,100,100,0,0,4.56,8546,3766,0,0,0,0,456
2,27,random,0.2,1,paxos_pipeline,ci,4,62,100,100,0,0,62.78,7878,3254,5365,6,108,0,562
2,27,random,0.2,1,2pc_pipeline,ci,4,62,100,71,29,0,134.69,9716,4031,6368,50,288,0,614
2,27,random,0.2,1,tom_pipeline,ci,4,62,100,100,0,0,4.96,6516,2691,4347,11,11,0,496
2,27,random,0.2,0,paxos_ce,ce,4,62,100,100,0,0,13.92,22806,14778,0,0,0,12,1392
2,27,random,0.2,0,2pc_ce,ce,4,62,100,100,0,0,23.65,38549,25306,0,0,0,273,2365
2,27,random,0.2,0,tom_ce,ce,4,62,100,100,0,0,5.45,10342,4373,0,0,0,113,545
2,54,random,0,1,paxos_pipeline,ci,5,126,100,100,0,0,139.55,18120,6858,10338,0,0,0,649
2,54,random,0,1,2pc_pipeline,ci,5,126,100,100,0,0,279.00,21997,8316,12563,0,0,0,788
2,54,random,0,1,tom_pipeline,ci,5,126,100,100,0,0,5.15,14261,5400,8149,0,0,0,515
2,54,random,0,0,paxos_ce,ce,5,126,100,100,0,0,17.84,56962,39374,0,0,0,2,1784
2,54,random,0,0,2pc_ce,ce,5,126,100,100,0,0,30.99,99563,67783,0,0,0,1047,3099
2,54,random,0,0,tom_ce,ce,5,126,100,100,0,0,5.15,19915,7895,0,0,0,0,515
2,54,random,0.05,1,paxos_pipeline,ci,5,126,100,100,0,0,145.39,18783,6856,11243,1,53,0,677
2,54,random,0.05,1,2pc_pipeline,ci,5,126,100,99,1,0,286.56,22641,8314,12947,2,53,0,807
2,54,random,0.05,1,tom_pipeline,ci,5,126,100,100,0,0,5.38,14787,5398,8867,2,2,0,538
2,54,random,0.05,0,paxos_ce,ce,5,126,100,100,0,0,17.94,57550,39326,0,0,0,4,1794
